io_mode,case,axis,theta_deg,iterations,termination,final_volume,duration_sec,final_faces,final_edges,success_iterations,failed_iterations
step,axisx_theta1,x,1,0,boolean-failed,0,5.68,0,0,0,1
step,axisx_theta2,x,2,0,boolean-failed,0,1.71,0,0,0,1
step,axisx_theta5,x,5,0,boolean-failed,0,4.88,0,0,0,1
step,axisx_theta15,x,15,1,volume-threshold,0.07532248222,3.32,34,144,1,0
step,axisx_theta45,x,45,6,face-explosion-guard,162.4306521,8.61,9448,38464,6,0
step,axisx_theta90,x,90,496,time-cap,218.9798644,300,428,1808,496,0
step,axisx_theta180,x,180,479,time-cap,4840.714505,300,68,264,479,0
step,axisy_theta1,y,1,1,volume-threshold,0.2384356194,11,15,65,1,0
step,axisy_theta2,y,2,0,boolean-failed,0,7.13,0,0,0,1
step,axisy_theta5,y,5,1,volume-threshold,0.2151304347,4.54,44,192,1,0
step,axisy_theta15,y,15,1,volume-threshold,0.4642191515,3.35,66,276,1,0
step,axisy_theta45,y,45,1,volume-threshold,0.6567609113,9.14,60,240,1,0
step,axisy_theta90,y,90,500,max-iterations,373.7899823,294,80,368,500,0
step,axisy_theta180,y,180,353,time-cap,4840.714505,301,68,264,353,0
step,axisz_theta1,z,1,0,boolean-failed,0,5.35,0,0,0,1
step,axisz_theta2,z,2,0,boolean-failed,0,5.44,0,0,0,1
step,axisz_theta5,z,5,0,boolean-failed,0,4.11,0,0,0,1
step,axisz_theta15,z,15,2,volume-threshold,5.434563446e-07,5.93,2,12,2,0
step,axisz_theta45,z,45,500,max-iterations,362.3942392,182,26,128,500,0
step,axisz_theta90,z,90,3,volume-threshold,0.002194955751,33.3,10,36,3,0
step,axisz_theta180,z,180,25,time-cap,6945.945227,303,95,416,25,0
step,axisdiag_theta1,diag,1,0,boolean-failed,0,6.38,0,0,0,1
step,axisdiag_theta2,diag,2,1,volume-threshold,0.001888292558,9.04,4,12,1,0
step,axisdiag_theta5,diag,5,0,boolean-failed,0,6.66,0,0,0,1
step,axisdiag_theta15,diag,15,2,boolean-failed,22.03913874,6.92,48,216,2,1
step,axisdiag_theta45,diag,45,1,boolean-failed,106.7100222,1.89,44,264,1,1
step,axisdiag_theta90,diag,90,2,volume-threshold,1.382909086,1.39,38,156,2,0
step,axisdiag_theta180,diag,180,3,volume-threshold,4.014761122,2.14,52,256,3,0
